GENE_SYMBOL	NAME	COSMIC_GENE_ID	CHROMOSOME	GENOME_START	GENOME_STOP	CHR_BAND	SOMATIC	GERMLINE	TUMOUR_TYPES_SOMATIC	TUMOUR_TYPES_GERMLINE	CANCER_SYNDROME	TISSUE_TYPE	MOLECULAR_GENETICS	ROLE_IN_CANCER	MUTATION_TYPES	TRANSLOCATION_PARTNER	OTHER_GERMLINE_MUT	OTHER_SYNDROME	TIER	SYNONYMS
ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	COSG7389	2	128014866	128051752	2q14.3	n	y		skin basal cell, skin squamous cell, melanoma	xeroderma pigmentosum (B)	E	Rec	TSG	Mis, S		n		1	ERCC3,ENSG00000163161.8,P19447,2071,BTF2,GTF2H,RAD25,TFIIH,XPB
ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	COSG29246	16	14014014	14046202	16p13.12	n	y		skin basal cell, skin squamous cell, melanoma	xeroderma pigmentosum (F)	E	Rec	TSG	Mis, N, F		n		1	ERCC4,ENSG00000175595.10,Q92889,2072,FANCQ,RAD1
ERCC5	ERCC excision repair 5, endonuclease	COSG22547	13	103497194	103528345	13q33.1	n	y		skin basal cell, skin squamous cell, melanoma	xeroderma pigmentosum (G)	E	Rec	TSG	Mis, N, F		n		1	ERCC5,ENSG00000134899.13,P28715,2073
ERG	ETS transcription factor ERG	COSG51295	21	39751949	40033704	21q22.2	y	n	Ewing sarcoma, prostate, AML			M, E, L	Dom	oncogene, fusion	T, A	EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1	n		1	ERG,ENSG00000157554.14,P11308,2078,erg-3,p55
ESR1	estrogen receptor 1	COSG44203	6	151977826	152450754	6q25.1	y	n	breast			E	Dom	oncogene, TSG, fusion	Mis, T		n		1	ESR1,ENSG00000091831.17,P03372,2099,ER-alpha,Era,NR3A1
ETNK1	ethanolamine kinase 1	COSG13201	12	22778009	22843599	12p12.1	y	n	aCML, CMML, SM-AHD, HES			L	Dom	TSG	Mis		n		1	ETNK1,ENSG00000139163.11,Q9HBU6,55500,EKI,EKI1
ETV1	ETS variant 1	COSG9899	7	13930853	14031050	7p21.2	y	n	Ewing sarcoma, prostate			M, E	Dom	oncogene, fusion	T	EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3	n		1	ETV1,ENSG00000006468.9,P50549,2115,ER81
ETV4	ETS variant 4	COSG16739	17	41605212	41656988	17q21.31	y	n	Ewing sarcoma, prostate carcinoma			M, E	Dom	oncogene, fusion	T	EWSR1, TMPRSS2, DDX5, KLK2, CANT1	n		1	ETV4,ENSG00000175832.8,P43268,2118,E1A-F,E1AF,PEA3
ETV5	ETS variant 5	COSG11038	3	185764097	185828107	3q27.2	y	n	prostate			E	Dom	oncogene, fusion	T	TMPRSS2, SCL45A3	n		1	ETV5,ENSG00000244405.3,P41161,2119,ERM
ETV6	ETS variant 6	COSG54902	12	11802788	12048336	12p13.2	y	n	congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS			L, E, M	Dom	TSG, fusion	T	NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5	n		1	ETV6,ENSG00000139083.6,P41212,2120,TEL
EWSR1	EWS RNA binding protein 1	COSG6231	22	29663998	29696515	22q12.2	y	n	Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma			L, M, E	Dom	oncogene, fusion	T	FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1	n		1	EWSR1,ENSG00000182944.13,Q01844,2130,EWS
EXT1	exostosin glycosyltransferase 1	COSG17370	8	118806729	119124092	8q24.11	n	y		exostoses, osteosarcoma	multiple exostoses type 1	M	Rec	TSG, fusion	Mis, N, F, S, T		n		1	EXT1,ENSG00000182197.6,Q16394,2131,ttv
EXT2	exostosin glycosyltransferase 2	COSG19157	11	44117099	44266979	11p11.2	n	y		exostoses, osteosarcoma	multiple exostoses type 2	M	Rec	TSG	Mis, N, F, S		n		1	EXT2,ENSG00000151348.9,Q93063,2132,SOTV
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	COSG56026	7	148504475	148581413	7q36.1	y	n	DLBCL			L	Dom	oncogene, TSG	Mis		n		1	EZH2,ENSG00000106462.6,Q15910,2146,ENX-1,EZH1,KMT6,KMT6A
EZR	ezrin	COSG45217	6	159186773	159240444	6q25.3	y	n	NSCLC			E	Dom	fusion	T	ROS1	n		1	EZR,ENSG00000092820.13,P15311,7430
FADD	Fas associated via death domain	COSG29842	11	70049269	70053496	11q13.3	y	n	breast cancer, HNSCC			E, L			A		n		2	FADD,ENSG00000168040.4,Q13158,8772,GIG3,MORT1
FAM131B	family with sequence similarity 131 member B	COSG7696	7	143050493	143059863	7q34	y	n	pilocytic astrocytoma			O	Dom	fusion	T	BRAF	n		2	FAM131B,ENSG00000159784.13,Q86XD5,9715,KIAA0773
FAM135B	family with sequence similarity 135 member B	COSG11392	8	139142266	139509065	8q24.23	y	n	SCLC			E			Mis		n		2	FAM135B,ENSG00000147724.7,Q49AJ0,51059,C8ORFK32
FAM47C	family with sequence similarity 47 member C	COSG24609	X	37026432	37029739	Xp21.1	y	n	melanoma, clear cell sarcoma of soft parts, SCLC			E, M			Mis		n		2	FAM47C,ENSG00000198173.3,Q5HY64,442444
FANCA	FA complementation group A	COSG117	16	89803957	89883065	16q24.3	n	y		AML, leukaemia	Fanconi anaemia A	L	Rec	TSG	D, Mis, N, F, S		n		1	FANCA,ENSG00000187741.10,O15360,2175,FA-H,FAA,FAH
FANCC	FA complementation group C	COSG4466	9	97861336	98079991	9q22.32	n	y		AML, leukaemia	Fanconi anaemia C	L	Rec	TSG	D, Mis, N, F, S		n		1	FANCC,ENSG00000158169.7,Q00597,2176,FA3,FAC
FANCD2	FA complementation group D2	COSG39808	3	10068098	10143614	3p25.3	n	y		AML, leukaemia	Fanconi anaemia D2	L	Rec	TSG	D, Mis, N, F		n		1	FANCD2,ENSG00000144554.6,Q9BXW9,2177,FA-D2,FAD
FANCE	FA complementation group E	COSG53607	6	35420138	35434880	6p21.31	n	y		AML, leukaemia	Fanconi anaemia E	L	Rec	TSG	N, F, S		n		1	FANCE,ENSG00000112039.3,Q9HB96,2178,FAE
FANCF	FA complementation group F	COSG30376	11	22644079	22647387	11p14.3	n	y		AML, leukaemia	Fanconi anaemia F	L	Rec	TSG	N, F		n		1	FANCF,ENSG00000183161.3,Q9NPI8,2188,FAF
FANCG	FA complementation group G	COSG45854	9	35073832	35080013	9p13.3	n	y		AML, leukaemia	Fanconi anaemia G	L	Rec	TSG	Mis, N, F, S		n		1	FANCG,ENSG00000221829.5,O15287,2189,FAG
FANCI	FA complementation group I	COSG37873	15	89787180	89860492	15q26.1	n	y		prostate cancer		E		TSG	F, N		n		1	FANCI,ENSG00000140525.13,Q9NVI1,55215,FLJ10719
FANCM	FA complementation group M	COSG7518	14	45605143	45670093	14q21.2	n	y		triple-negative breast cancer		E		TSG	N		n		1	FANCM,ENSG00000187790.6,Q8IYD8,57697,FAAP250
FAS	Fas cell surface death receptor	COSG2798	10	90750414	90775542	10q23.31	y	n	TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related			L, E, O	Rec	TSG	Mis		y	Autoimmune lymphoproliferative syndrome	1	FAS,ENSG00000026103.15,P25445,355,APO-1,CD95
FAT1	FAT atypical cadherin 1	COSG28542	4	187508937	187647876	4q35.2	y	y	oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma	pancreatic		E, L		TSG	Mis, N, F, S		n		1	FAT1,ENSG00000083857.9,Q14517,2195,CDHF7,CDHR8
FAT3	FAT atypical cadherin 3	COSG45659	11	92085262	92629618	11q14.3	y	n	SCC, colon adenocarcinoma, gastric adenocarcinoma			E			Mis		n		2	FAT3,ENSG00000165323.11,Q8TDW7,120114,CDHF15,CDHR10,KIAA1989
FAT4	FAT atypical cadherin 4	COSG46892	4	126237554	126414087	4q28.1	y	n	lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma			E, L		TSG	Mis, N		y	Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2 	1	FAT4,ENSG00000196159.7,Q6V0I7,79633,CDHF14,CDHR11,FAT-J
FBLN2	fibulin 2	COSG7307	3	13573824	13679922	3p25.1	y	n	breast cancer, colorectal adenocarcinoma			E		TSG	Mis, S		n		2	FBLN2,ENSG00000163520.9,P98095,2199
FBXO11	F-box protein 11	COSG56673	2	48016455	48132932	2p16.3	y	n	DLBCL			L	Rec	TSG	Mis, F, D		n		1	FBXO11,ENSG00000138081.15,Q86XK2,80204,FBX11,UBR6
FBXW7	F-box and WD repeat domain containing 7	COSG52497	4	153242410	153457253	4q31.3	y	n	colorectal, endometrial, T-ALL			E, L	Rec	TSG	Mis, N, D, F		n		1	FBXW7,ENSG00000109670.9,Q969H0,55294,AGO,CDC4,FBW7,FBX30,FBXW6,FLJ11071,SEL-10,SEL10
FCGR2B	Fc fragment of IgG receptor IIb	COSG12133	1	161551101	161648444	1q23.3	y	n	ALL			L	Dom	oncogene, fusion	T	?	n		1	FCGR2B,ENSG00000072694.14,P31994,2213,CD32,CD32B
FCRL4	Fc receptor like 4	COSG50931	1	157543539	157567870	1q23.1	y	n	B-NHL			L	Dom	oncogene, fusion	T	IGH	n		1	FCRL4,ENSG00000163518.6,Q96PJ5,83417,CD307d,FCRH4,IGFP2,IRTA1
FEN1	flap structure-specific endonuclease 1	COSG14110	11	61560109	61564716	11q12.2	n	y		breast cancer		E		TSG			n		2	FEN1,ENSG00000168496.3,P39748,2237,FEN-1,MF1
FES	FES proto-oncogene, tyrosine kinase	COSG52852	15	91426925	91439006	15q26.1	y	n	HNSCC, ovarian carcinoma			E		oncogene, TSG	Mis, F		n		1	FES,ENSG00000182511.7,P07332,2242,FPS
FEV	FEV, ETS transcription factor	COSG48316	2	219845809	219850379	2q35	y	n	Ewing sarcoma			M	Dom	oncogene, fusion	T	EWSR1,  FUS	n		1	FEV,ENSG00000163497.2,Q99581,54738,Pet-1
FGFR1	fibroblast growth factor receptor 1	COSG54233	8	38268656	38326352	8p11.23	y	n	MPN, NHL, salivary adenoma			L	Dom	oncogene, fusion	T	BCR, FOP, ZMYM2, CNTRL, PLAG1	y	Pfeiffer syndrome, Kallman syndrome	1	FGFR1,ENSG00000077782.15,P11362,2260,BFGFR,CD331,CEK,FLG,H2,H3,H4,H5,N-SAM
FGFR1OP	FGFR1 oncogene partner	COSG939	6	167412670	167466201	6q27	y	n	MPN, NHL			L	Dom	fusion	T	FGFR1	n		1	FGFR1OP,ENSG00000213066.7,O95684,11116,FOP
FGFR2	fibroblast growth factor receptor 2	COSG55841	10	123237848	123357972	10q26.13	y	n	gastric, NSCLC, endometrial			E	Dom	oncogene, fusion	Mis, T		y	Crouzon, Pfeiffer, and Apert syndromes	1	FGFR2,ENSG00000066468.16,P21802,2263,CD332,CEK3,ECT1,K-SAM,TK14,TK25
FGFR3	fibroblast growth factor receptor 3	COSG22028	4	1795034	1810599	4p16.3	y	n	bladder, MM, T-cell lymphoma			L, E	Dom	oncogene, fusion	Mis, T	IGH, ETV6	y	Hypochondroplasia, Thanatophoric dysplasia	1	FGFR3,ENSG00000068078.13,P22607,2261,CD333,CEK2,JTK4
FGFR4	fibroblast growth factor receptor 4	COSG43572	5	176513887	176525145	5q35.2	y	n	rhabdomyosarcoma			M	Dom	oncogene	Mis		n		1	FGFR4,ENSG00000160867.10,P22455,2264,CD334,JTK2
FH	fumarate hydratase	COSG35989	1	241660903	241683061	1q43	y	y	cutaneous leiomyoma, RCC, uterine leiomyoma	cutaneous leiomyoma, pheochromocytoma and paraganglioma, RCC, uterine leiomyoma	hereditary leiomyomatosis and renal cell cancer	E, O	Rec	TSG	Mis, N, F		n		1	FH,ENSG00000091483.6,P07954,2271
FHIT	fragile histidine triad	COSG13762	3	59735036	61237133	3p14.2	y	n	pleomorphic salivary gland adenoma			E	Dom	TSG, fusion	T	HMGA2	n		1	FHIT,ENSG00000189283.5,P49789,2272,AP3Aase,FRA3B
FIP1L1	factor interacting with PAPOLA and CPSF1	COSG2138	4	54243810	55161439	4q12	y	n	idiopathic hypereosinophilic syndrome			L	Dom	fusion	T	PDGFRA	n		1	FIP1L1,ENSG00000145216.11,Q6UN15,81608,DKFZp586K0717,FIP1
FKBP9	FKBP prolyl isomerase 9	COSG55764	7	32997017	33046543	7p14.3	y	n	glioma			O			Mis		n		2	FKBP9,ENSG00000122642.6,O95302,11328,FKBP60,FKBP63
FLCN	folliculin	COSG31428	17	17115526	17140502	17p11.2	n	y		renal, fibrofolliculomas, trichodiscomas	Birt-Hogg-Dube syndrome	E, M	Rec	TSG	Mis. N, F		n		1	FLCN,ENSG00000154803.8,Q8NFG4,201163,BHD,MGC17998,MGC23445
FLI1	Fli-1 proto-oncogene, ETS transcription factor	COSG27750	11	128556430	128683162	11q24.3	y	n	Ewing sarcoma			M	Dom	oncogene, fusion	T	EWSR1	n		1	FLI1,ENSG00000151702.12,2313,EWSR2,SIC-1
FLNA	filamin A	COSG40763	X	153576892	153603006	Xq28	y	n	phyllodes tumour of the breast			E			Mis, F, O		n		2	FLNA,ENSG00000196924.10,P21333,2316,ABP-280
FLT3	fms related tyrosine kinase 3	COSG1417	13	28577411	28674729	13q12.2	y	n	AML, ALL			L	Dom	oncogene	Mis, O		n		1	FLT3,ENSG00000122025.10,P36888,2322,CD135,FLK2,STK1
FLT4	fms related tyrosine kinase 4	COSG5045	5	180028506	180076624	5q35.3	y	n	soft tissue sarcoma			M	Dom	oncogene	A		n		1	FLT4,ENSG00000037280.11,P35916,2324,PCL,VEGFR3
FNBP1	formin binding protein 1	COSG30397	9	132649466	132805473	9q34.11	y	n	AML			L	Dom	fusion	T	KMT2A	n		2	FNBP1,ENSG00000187239.12,Q96RU3,23048,FBP17,KIAA0554
FOXA1	forkhead box A1	COSG41689	14	38059189	38069245	14q21.1	y	n	breast, prostate			E	Dom	oncogene	Mis, F		n		1	FOXA1,ENSG00000129514.4,P55317,3169
FOXL2	forkhead box L2	COSG8856	3	138663066	138665982	3q22.3	y	n	granulosa-cell tumour of the ovary			O	Dom	oncogene, TSG	Mis		y	Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III	1	FOXL2,ENSG00000183770.5,P58012,668,BPES1
FOXO1	forkhead box O1	COSG38062	13	41129804	41240734	13q14.11	y	n	alveolar rhabdomyosarcoma			M	Dom	oncogene, TSG, fusion	T	PAX3, PAX7	n		1	FOXO1,ENSG00000150907.6,Q12778,2308,FKH1
FOXO3	forkhead box O3	COSG17224	6	108881038	109005977	6q21	y	n	AL			L	Dom	oncogene, TSG, fusion	T	KMT2A	n		1	FOXO3,ENSG00000118689.10,O43524,2309,AF6q21,FOXO2
FOXO4	forkhead box O4	COSG33973	X	70316047	70323385	Xq13.1	y	n	AL, soft tissue sarcoma			L, M	Dom	oncogene, TSG, fusion	T	KMT2A, CIC	n		1	FOXO4,ENSG00000184481.12,P98177,4303,AFX1
FOXP1	forkhead box P1	COSG46248	3	71003844	71633140	3p13	y	n	ALL			L	Dom	oncogene, fusion	T	PAX5	n		1	FOXP1,ENSG00000114861.14,27086,12CC4,HSPC215,QRF1,hFKH1B
FOXR1	forkhead box R1	COSG29251	11	118842417	118852001	11q23.3	y	n	neuroblastoma			O		oncogene, fusion	T		n		2	FOXR1,ENSG00000176302.8,Q6PIV2,283150,DLNB13,FOXN5
FSTL3	follistatin like 3	COSG23801	19	676392	683385	19p13.3	y	n	B-CLL			L	Dom	oncogene, fusion	T	CCND1	n		1	FSTL3,ENSG00000070404.5,O95633,10272,FLRG,FSRP
FUBP1	far upstream element binding protein 1	COSG45295	1	78409740	78444794	1p31.1	y	n	oligodendroglioma			O	Rec	oncogene	F, N		n		1	FUBP1,ENSG00000162613.12,Q96AE4,8880,FBP
FUS	FUS RNA binding protein	COSG44116	16	31191431	31203127	16p11.2	y	n	liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma			M, L	Dom	TSG, fusion	T	DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2	n		1	FUS,ENSG00000089280.14,P35637,2521,FUS1,HNRNPP2,TLS,hnRNP-P2
GAS7	growth arrest specific 7	COSG5576	17	9813926	10101868	17p13.1	y	n	AML*			L	Dom	fusion	T	KMT2A	n		1	GAS7,ENSG00000007237.14,O60861,8522,KIAA0394,MGC1348
GATA1	GATA binding protein 1	COSG10133	X	48644962	48652716	Xp11.23	y	n	megakaryoblastic leukaemia of Downs syndrome			L	Dom	oncogene, TSG	Mis, F		n		1	GATA1,ENSG00000102145.9,P15976,2623,ERYF1,GATA-1,NF-E1,NFE1
GATA2	GATA binding protein 2	COSG43557	3	128198270	128212028	3q21.3	y	n	AML (CML blast transformation)			L	Dom	oncogene	Mis		n		1	GATA2,ENSG00000179348.7,P23769,2624,NFE1B
GATA3	GATA binding protein 3	COSG14420	10	8095567	8117161	10p14	y	n	breast			E	Rec	oncogene, TSG	F, N, S		y	HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)	1	GATA3,ENSG00000107485.11,P23771,2625,HDR
GLI1	GLI family zinc finger 1	COSG27252	12	57853918	57866045	12q13.3	y	n	CRC, oesophagus cancer			E		oncogene, fusion	T, F		y	IBD	2	GLI1,ENSG00000111087.5,P08151,2735
GMPS	guanine monophosphate synthase	COSG541	3	155588325	155661815	3q25.31	y	n	AML			L	Dom	fusion	T	KMT2A	n		2	GMPS,ENSG00000163655.11,P49915,8833,GATD7
GNA11	G protein subunit alpha 11	COSG17168	19	3094408	3124002	19p13.3	y	n	uveal melanoma, primary central nervous system melanocytic neoplasms			E, O	Dom	oncogene	Mis		n		1	GNA11,ENSG00000088256.4,P29992,2767,FBH,FBH2,FHH2
GNA13	G protein subunit alpha 13	COSG38485	17	63006833	63052957	17q24.1	y	n	Burkitt Lymphoma, DLBCL			L		TSG	N, F, Mis		n		1	GNA13,ENSG00000120063.5,Q14344,10672,G13,MGC46138
GNAQ	G protein subunit alpha q	COSG19179	9	80331003	80646374	9q21.2	y	n	uveal melanoma, primary central nervous system melanocytic neoplasms			E, O	Dom	oncogene	Mis		n		1	GNAQ,ENSG00000156052.6,P50148,2776,G-ALPHA-q,GAQ
GNAS	GNAS complex locus	COSG23309	20	57414773	57486247	20q13.32	y	n	pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia			E, M	Dom	oncogene	Mis		y	McCune-Albright syndrome; pseudohypoparathyroidism, type IA	1	GNAS,ENSG00000087460.19,Q5JWF2,2778,GNASXL,GPSA,NESP,NESP55,SCG6,SgVI
GOLGA5	golgin A5	COSG4110	14	93260576	93306308	14q32.12	y	n	papillary thyroid, Spitzoid tumour			E	Dom	fusion	T	RET	n		1	GOLGA5,ENSG00000066455.8,Q8TBA6,9950,GOLIM5,golgin-84,ret-II,rfg5
GOLPH3	golgi phosphoprotein 3	COSG24972	5	32124810	32174456	5p13.3	y	n	breast cancer, NSCLC, ovarian cancer			E			A		n		2	GOLPH3,ENSG00000113384.9,Q9H4A6,64083,GOPP1,GPP34,MIDAS,Vps74
GOPC	golgi associated PDZ and coiled-coil motif containing	COSG5602	6	117639374	117923691	6q22.1	y	n	glioblastoma, cholangiocarcinoma, borderline ovarian			E, O	Dom	fusion	T	ROS1	n		1	GOPC,ENSG00000047932.9,Q9HD26,57120,CAL,FIG,GOPC1,PIST,dJ94G16.2
GPC3	glypican 3	COSG5212	X	132669773	133119922	Xq26.2	n	y		Wilms tumour	Simpson-Golabi-Behmel syndrome	O	Rec/X	oncogene, TSG	D, Mis, N, F, S		n		1	GPC3,ENSG00000147257.9,P51654,2719,DGSX,OCI-5,SGB,SGBS,SGBS1
GPC5	glypican 5	COSG38582	13	92050929	93519490	13q31.3	y	n	lung adenocarcinoma			E		TSG	D		n		2	GPC5,ENSG00000179399.9,P78333,2262
GPHN	gephyrin	COSG2158	14	66974125	67648520	14q23.3	y	n	AL			L	Dom	fusion	T	KMT2A	n		1	GPHN,ENSG00000171723.11,Q9NQX3,10243,KIAA1385
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	COSG28306	16	9852376	10276611	16p13.2	y	n	melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma			E	Rec	TSG	Mis, N, F, O		y	Focal epilepsy and speech disorder with or without mental retardation	1	GRIN2A,ENSG00000183454.9,Q12879,2903,GluN2A
GRM3	glutamate metabotropic receptor 3	COSG3206	7	86273230	86494200	7q21.12	y	n	melanoma, oral SCC			E		oncogene	Mis, A		n		2	GRM3,ENSG00000198822.6,Q14832,2913,GPRC1C,MGLUR3,mGlu3
GSK3B	glycogen synthase kinase 3 beta	COSG28285	3	119540170	119813264	3q13.33	y	n	endometrial cancer			E			F, Mis, N		n		2	GSK3B,ENSG00000082701.10,P49841,2932
GTF2I	general transcription factor IIi	COSG47290	7	74071994	74175026	7q11.23	y	n	thymoma			E			Mis		n	Williams-Beuren syndrome	2	GTF2I,ENSG00000077809.8,P78347,2969,BAP-135,BTKAP1,DIWS,IB291,SPIN,TFII-I
H3F3A	H3 histone family member 3A	COSG50976	1	226249552	226259702	1q42.12	y	n	glioma			O	Dom	oncogene	Mis		n		1	H3F3A,ENSG00000163041.5,P84243,3020,H3.3A
H3F3B	H3 histone family member 3B	COSG50130	17	73772515	73781974	17q25.1	y	n	chondroblastoma			M	Dom	oncogene	Mis		n		1	H3F3B,ENSG00000132475.4,P84243,3020,H3.3B
HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	COSG22776	16	56965960	56977798	16q13	y	n	prostate			E	Dom	fusion	T	ERG	n		1	HERPUD1,ENSG00000051108.10,Q15011,9709,HERP,KIAA0025,Mif1,SUP
HEY1	hes related family bHLH transcription factor with YRPW motif 1	COSG51186	8	80676245	80680098	8q21.13	y	n	mesenchymal chondrosarcoma			M	Dom	oncogene, fusion	T	NCOA2	n		1	HEY1,ENSG00000164683.12,Q9Y5J3,23462,CHF-2,CHF2,HERP2,HESR-1,HESR1,HRT-1,bHLHb31
HGF	hepatocyte growth factor	COSG24086	7	81328322	81399754	7q21.11	y	n	breast cancer, lung cancer, multiple myeloma			E, M		oncogene, fusion	A, F, Mis, N, T	CACNA2D1	n		1	HGF,ENSG00000019991.11,P14210,3082,F-TCF,HGFB,HPTA,SF
HIF1A	hypoxia inducible factor 1 subunit alpha	COSG52650	14	62162231	62214976	14q23.2	y	n	endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic			E, O	Dom	oncogene	Mis, F, N		n		1	HIF1A,ENSG00000100644.12,Q16665,3091,HIF-1alpha,HIF1,MOP1,PASD8,bHLHe78
HIP1	huntingtin interacting protein 1	COSG57584	7	75162621	75368280	7q11.23	y	n	CMML, NSCLC			L, E	Dom	oncogene, fusion	T	PDGFRB, ALK	n		1	HIP1,ENSG00000127946.12,O00291,3092,ILWEQ
HIST1H3B	histone cluster 1 H3 family member b	COSG47948	6	26031817	26032288	6p22.2	y	n	glioma			O	Dom	oncogene	Mis		n		1	HIST1H3B,ENSG00000124693.2,P68431,8350,H3/l
HIST1H4I	histone cluster 1 H4 family member i	COSG47607	6	27107076	27108418	6p22.1	y	n	NHL			L	Dom	fusion	T	BCL6	n		1	HIST1H4I,ENSG00000198339.3,P62805,8294,H4/m
HLA-A	major histocompatibility complex, class I, A	COSG40140	6	29909037	29913661	6p22.1	y	n	Spitzoid tumour			E	Dom	fusion	T	ROS1	y	Carbamazepine-induced hypersensitivity syndrome	1	HLA-A,ENSG00000206503.7,P04439,P13746,P16188,3105
HLF	HLF, PAR bZIP transcription factor	COSG17541	17	53342373	53402426	17q22	y	n	ALL			L	Dom	oncogene, fusion	T	TCF3	n		1	HLF,ENSG00000108924.9,Q16534,3131,MGC33822
HMGA1	high mobility group AT-hook 1	COSG15253	6	34204650	34214008	6p21.31	y	n	microfollicular thyroid adenoma, various benign mesenchymal tumours			E, M	Dom	oncogene, fusion	T	?	n		1	HMGA1,ENSG00000137309.15,P17096,3159
HMGA2	high mobility group AT-hook 2	COSG44079	12	66217911	66360075	12q14.3	y	n	lipoma, leiomyoma, pleomorphic salivary gland adenoma			M	Dom	oncogene, fusion	T	LHFP, RAD51B, LPP, COX6C, ACKR3, NFIB, ALDH2, CCNB1IP1, EBF1, WIF1, FHIT	n		1	HMGA2,ENSG00000149948.9,P52926,8091,BABL,LIPO
HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46	COSG47714	15	45803334	45878488	15q21.1	y	n	prostate			E	Dom	fusion	T	ETV1	n		2	HMGN2P46,ENSG00000179362.10,283651,D-PCa-2,FLJ39426
HNF1A	HNF1 homeobox A	COSG32579	12	121416346	121440315	12q24.31	y	y	hepatic adenoma, hepatocellular	hepatic adenoma, hepatocellular carcinoma	familial hepatic adenoma	E	Rec	TSG	Mis, F		y	Maturity-onset diabetes of the young, TYPE III	1	HNF1A,ENSG00000135100.13,6927,HNF1,LFB1
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	COSG42841	7	26229547	26241149	7p15.2	y	n	prostate			E	Dom	oncogene, fusion	T	ETV1	n		1	HNRNPA2B1,ENSG00000122566.16,P22626,3181
HOOK3	hook microtubule tethering protein 3	COSG53579	8	42752075	42885682	8p11.21	y	n	papillary thyroid			E	Dom	fusion	T	RET	n		1	HOOK3,ENSG00000168172.4,Q86VS8,84376,HK3
HOXA11	homeobox A11	COSG7362	7	27221129	27224842	7p15.2	y	n	CML			L	Dom	oncogene, TSG, fusion	T	NUP98	n		1	HOXA11,ENSG00000005073.5,P31270,3207
HOXA13	homeobox A13	COSG34718	7	27233122	27239725	7p15.2	y	n	AML			L	Dom	oncogene, fusion	T	NUP98	n		1	HOXA13,ENSG00000106031.6,P31271,3209
HOXA9	homeobox A9	COSG2114	7	27202054	27210117	7p15.2	y	n	AML*			L	Dom	oncogene, TSG, fusion	T	NUP98, MSI2	n		1	HOXA9,ENSG00000078399.11,P31269,3205
HOXC11	homeobox C11	COSG5734	12	54366910	54371427	12q13.13	y	n	AML			L	Dom	oncogene, fusion	T	NUP98	n		1	HOXC11,ENSG00000123388.4,O43248,3227
HOXC13	homeobox C13	COSG9047	12	54332535	54340328	12q13.13	y	n	AML			L	Dom	oncogene, fusion	T	NUP98	n		1	HOXC13,ENSG00000123364.3,P31276,3229
HOXD11	homeobox D11	COSG3524	2	176968944	176974722	2q31.1	y	n	AML			L	Dom	oncogene, fusion	T	NUP98	n		1	HOXD11,ENSG00000128713.11,P31277,3237
HOXD13	homeobox D13	COSG2804	2	176957619	176960666	2q31.1	y	n	AML*			L	Dom	oncogene, fusion	T	NUP98	n		1	HOXD13,ENSG00000128714.5,P35453,3239
HRAS	HRas proto-oncogene, GTPase	COSG14768	11	532242	537287	11p15.5	y	y	infrequent sarcomas, rare other tumour types	rhabdomyosarcoma, ganglioneuroblastoma, bladder	Costello syndrome	E, L, M	Dom	oncogene	Mis		n		1	HRAS,ENSG00000174775.12,P01112,3265
HSP90AA1	heat shock protein 90 alpha family class A member 1	COSG40950	14	102547075	102606036	14q32.31	y	n	NHL			L	Dom	fusion	T	BCL6	n		1	HSP90AA1,ENSG00000080824.14,P07900,3320,FLJ31884,HSP90N,Hsp89,Hsp90
